episode,reward,length,win
644,273.0000,43,0
645,812.1000,179,0
646,97.4000,16,0
647,308.0000,58,0
648,491.8000,69,0
649,721.1000,101,0
650,627.2000,79,0
651,755.5000,108,0
652,37.2000,12,0
653,86.9000,15,0
654,790.3000,526,0
655,370.9000,56,0
656,849.5000,614,0
657,655.6000,92,0
658,449.0000,68,0
659,523.7000,81,0
660,429.2000,95,0
661,308.8000,41,0
662,822.5000,363,0
663,99.3000,18,0
664,150.6000,25,0
665,59.2000,19,0
666,703.9000,134,0
667,710.2000,104,0
668,158.7000,28,0
669,729.9000,605,0
670,138.8000,23,0
671,311.4000,45,0
672,443.6000,58,0
673,898.7000,298,0
674,892.5000,352,0
675,565.7000,68,0
676,379.7000,60,0
677,741.8000,135,0
678,510.0000,73,0
679,741.2000,211,0
680,682.0000,89,0
681,34.1000,16,0
682,632.6000,99,0
683,727.6000,162,0
684,761.5000,137,0
685,843.3000,308,0
686,335.8000,44,0
687,444.5000,67,0
688,822.3000,229,0
689,611.5000,78,0
690,711.0000,130,0
691,56.6000,20,0
692,694.6000,90,0
693,67.2000,17,0
694,672.9000,201,0
695,481.9000,67,0
696,48.1000,20,0
697,139.7000,22,0
698,452.5000,88,0
699,67.2000,15,0
700,495.9000,71,0
701,752.1000,338,0
702,198.5000,30,0
703,312.9000,41,0
704,76.4000,16,0
705,883.5000,272,0
706,851.0000,255,0
707,774.9000,243,0
708,117.9000,22,0
709,231.6000,35,0
710,493.3000,65,0
711,220.6000,31,0
712,170.9000,23,0
713,48.5000,11,0
714,75.2000,18,0
715,134.5000,22,0
716,444.5000,59,0
717,741.6000,135,0
718,561.9000,89,0
719,516.5000,65,0
720,106.8000,23,0
721,520.0000,81,0
722,770.7000,561,0
723,420.8000,54,0
724,657.9000,116,0
725,66.4000,19,0
726,666.3000,102,0
727,38.4000,14,0
728,301.3000,41,0
729,866.5000,210,0
730,758.2000,124,0
731,225.0000,35,0
732,167.5000,33,0
733,57.1000,18,0
734,210.5000,38,0
735,538.9000,110,0
736,390.3000,55,0
737,494.7000,65,0
738,327.5000,56,0
739,777.6000,190,0
740,688.0000,114,0
741,43.5000,19,0
742,43.0000,33,0
743,825.2000,426,0
744,569.3000,122,0
745,817.3000,403,0
746,468.0000,69,0
747,75.7000,31,0
748,795.5000,206,0
749,363.3000,67,0
750,96.3000,23,0
751,870.8000,272,0
752,795.2000,150,0
753,728.7000,206,0
754,98.7000,19,0
755,410.4000,53,0
756,648.8000,102,0
757,95.6000,19,0
758,777.5000,491,0
759,894.8000,250,0
760,465.9000,54,0
761,811.2000,118,0
762,138.9000,53,0
763,478.8000,75,0
764,616.1000,84,0
765,822.1000,237,0
766,321.0000,46,0
767,973.9000,550,0
768,655.2000,107,0
769,53.6000,18,0
770,493.4000,86,0
771,407.0000,52,0
772,494.5000,59,0
773,728.4000,497,0
774,560.4000,109,0
775,599.7000,115,0
776,405.0000,52,0
777,272.6000,35,0
778,46.5000,15,0
779,318.4000,46,0
780,801.0000,139,0
781,402.1000,52,0
782,114.1000,31,0
783,809.2000,337,0
784,203.7000,36,0
785,442.2000,63,0
786,123.0000,27,0
787,834.4000,920,0
788,272.2000,39,0
789,453.9000,63,0
790,732.6000,127,0
791,27.5000,16,0
792,810.8000,297,0
793,831.9000,478,0
794,86.9000,15,0
795,535.6000,61,0
796,739.7000,89,0
797,168.6000,30,0
798,840.6000,199,0
799,323.1000,42,0
800,97.2000,23,0
801,723.3000,253,0
802,750.4000,153,0
803,482.0000,64,0
804,837.0000,441,0
805,495.4000,66,0
806,866.1000,288,0
807,67.9000,15,0
808,87.7000,19,0
809,790.7000,178,0
810,504.2000,60,0
811,370.8000,47,0
812,211.1000,32,0
813,356.1000,94,0
814,232.3000,30,0
815,562.2000,103,0
816,674.4000,87,0
817,688.8000,147,0
818,139.5000,20,0
819,404.6000,48,0
820,188.9000,33,0
821,776.3000,245,0
822,197.1000,28,0
823,168.5000,34,0
824,926.6000,521,0
825,688.3000,83,0
826,729.5000,143,0
827,118.4000,21,0
828,645.6000,111,0
829,785.5000,204,0
830,543.9000,97,0
831,109.2000,21,0
832,247.2000,41,0
833,654.3000,88,0
834,750.8000,103,0
835,771.3000,120,0
836,690.0000,102,0
837,493.2000,74,0
838,511.1000,75,0
839,787.1000,172,0
840,749.7000,180,0
841,173.4000,29,0
842,812.8000,163,0
843,93.5000,32,0
844,136.7000,25,0
845,350.5000,50,0
846,714.0000,93,0
847,603.0000,76,0
848,131.4000,25,0
849,624.0000,211,0
850,717.7000,98,0
851,41.1000,19,0
852,248.6000,42,0
853,627.8000,86,0
854,234.3000,39,0
855,756.7000,167,0
856,47.4000,13,0
857,67.1000,19,0
858,281.9000,39,0
859,652.8000,137,0
860,465.9000,56,0
861,238.7000,35,0
862,657.6000,97,0
863,785.1000,126,0
864,579.5000,307,0
865,310.5000,44,0
866,749.4000,104,0
867,340.4000,50,0
868,877.8000,192,0
869,717.8000,93,0
870,280.8000,37,0
871,495.5000,65,0
872,617.8000,219,0
873,88.1000,16,0
874,635.7000,125,0
875,782.4000,145,0
876,654.8000,133,0
877,707.4000,107,0
878,142.4000,23,0
879,486.5000,72,0
880,239.2000,43,0
881,794.0000,129,0
882,793.4000,153,0
883,816.9000,170,0
884,257.8000,44,0
885,208.7000,58,0
886,230.2000,37,0
887,67.9000,15,0
888,828.4000,157,0
889,648.7000,78,0
890,129.0000,19,0
