episode,reward,win
1059,66.75,0
1060,6.99,0
1061,22.829999999999988,0
1062,96.07999999999926,0
1063,16.909999999999997,0
1064,49.85000000000001,0
1065,46.560000000000045,0
1066,25.84999999999999,0
1067,44.66,0
1068,11.95,0
1069,31.75,0
1070,143.33999999999966,0
1071,5.920000000000002,0
1072,134.59000000000282,0
1073,6.960000000000001,0
1074,110.41999999999989,0
1075,120.94999999999969,0
1076,70.80000000000003,0
1077,66.45999999999994,0
1078,155.45999999999995,1
1079,74.66000000000001,0
1080,11.919999999999991,0
1081,126.2999999999999,0
1082,26.84999999999999,0
1083,154.58000000000138,1
1084,155.47999999999985,1
1085,48.66000000000005,0
1086,154.9300000000007,1
1087,59.74999999999996,0
1088,155.7999999999999,1
1089,132.43000000000782,0
1090,16.84,0
1091,10.930000000000001,0
1092,127.8700000000002,0
1093,30.83999999999999,0
1094,154.56000000000134,1
1095,155.11000000000104,1
1096,69.63,0
1097,37.75999999999999,0
1098,89.41999999999997,0
1099,135.92000000000021,0
1100,43.760000000000005,0
1101,155.60999999999996,1
1102,17.909999999999997,0
1103,155.34999999999968,1
1104,19.87999999999999,0
1105,10.98,0
1106,130.08000000000004,0
1107,91.3399999999999,0
1108,136.94999999999987,0
1109,106.2199999999999,0
1110,155.57999999999996,1
1111,8.99,0
1112,104.30999999999989,0
1113,110.46999999999986,0
1114,1.9700000000000006,0
1115,59.59000000000006,0
1116,155.68000000000018,1
1117,51.73,0
1118,155.52000000000044,1
1119,16.900000000000002,0
1120,58.76000000000002,0
1121,102.46999999999989,0
1122,114.22999999999972,0
1123,23.76999999999998,0
1124,131.11000000000007,0
1125,20.869999999999983,0
1126,16.879999999999992,0
1127,154.33000000000138,1
1128,153.02999999999915,1
1129,73.78999999999998,0
1130,106.04999999999971,0
1131,74.44999999999986,0
1132,77.47999999999993,0
1133,39.72000000000002,0
1134,-1.049999999999999,0
1135,120.31999999999987,0
1136,120.99999999999973,0
1137,155.76000000000028,1
1138,155.04000000000087,1
1139,80.43999999999994,0
1140,129.33000000000084,0
1141,11.969999999999999,0
1142,129.98000000000005,0
1143,0.9900000000000002,0
1144,154.81000000000017,1
1145,58.73000000000004,0
1146,114.0999999999997,0
1147,61.599999999999994,0
1148,95.27999999999975,0
1149,53.690000000000005,0
1150,8.98,0
1151,136.5700000000004,0
1152,27.889999999999986,0
1153,155.88999999999987,1
1154,1.9900000000000002,0
1155,29.869999999999997,0
1156,155.62000000000003,1
1157,155.21000000000043,1
1158,9.910000000000002,0
1159,95.24999999999996,0
1160,7.890000000000002,0
1161,122.39999999999982,0
1162,138.01999999999987,0
1163,74.75999999999998,0
1164,9.99,0
1165,41.8,0
